name,lat,lon,city,country
Estación de tren Montijo,38.913539,-6.598577,Montijo,España
Estación de tren Merida,38.921503,-6.343794,Merida,España
Estación de tren Caceres,39.461131,-6.385679,Cáceres,España
Estación de tren Monfrague,39.937464,-6.10091,Malpartida De Plasencia,España
Estación de tren Navalmoral de La Mata,39.894913,-5.545607,Navalmoral de la Mata,España
Estación de tren Oropesa de Toledo,39.921746,-5.186137,Oropesa,España
Estación de tren Talavera de La Reina,39.970674,-4.826512,Talavera de la Reina,España
Estación de tren Torrijos,39.979003,-4.283037,Torrijos,España
Estación de tren Leganes,40.3286349,-3.7711552,Leganés,España
Estación de tren Almeria,36.834951,-2.455519,Almeria,España
Estación de tren Guadix,37.316873,-3.127209,Guadix,España
Estación de tren Cabra del Santo Cristo Y Alicun,37.6567129,-3.262623,Cabra del Santo Cristo,España
Estación de tren Jodar-Ubeda,37.913343,-3.34892,Úbeda,España
Estación de tren Linares-Baeza,38.068864,-3.589396,Linares,España
Estación de tren Alcazar de San Juan,39.395628,-3.205744,Alcázar de San Juan,España
Estación de tren Vilches,38.215742,-3.517576,Vilches,España
Estación de tren Moreda,37.431216,-3.310516,Morelábor,España
Estación de tren Finyana,37.184647,-2.839757,Fiñana,España
Estación de tren Gador,36.951624,-2.487658,Gádor,España
Estación de tren Miranda de Ebro,42.691024,-2.940366,Miranda de Ebro,España
Estación de tren Llodio,43.142721,-2.959916,Plaza,España
Estación de tren San Sebastian/donostia,43.317669,-1.976704,San Sebastián,España
Estación de tren Vitoria/gasteiz,42.841517,-2.672601,Vitoria-Gasteiz,España
Estación de tren Altsasu/alsasua-Estacion,42.894847,-2.181237,Altsasu/Alsasua,España
Estación de tren Zumarraga,43.088273,-2.318462,Zumarraga,España
Estación de tren Vigo Guixar,42.2392656,-8.7146089,Vigo,España
Estación de tren Porto Campanha,41.1489,-8.58544,Porto,España
Estación de tren Nine,41.45534,-8.54513,Vila Nova de Famalicão,España
Estación de tren Viana D Castelo,41.69517,-8.83134,Viana do Castelo,España
Estación de tren Valenca Do Minho,42.024734,-8.639745,Valença,España
Estación de tren Camp Tarragona,41.192066,1.272666,la Secuita,España
Estación de tren Lleida,41.620696,0.632669,Lérida,España
Estación de tren Zaragoza-Delicias,41.658649,-0.911615,Zaragoza,España
Estación de tren Tudela de Navarra,42.059434,-1.597931,Tudela,España
Estación de tren Castejon de Ebro,42.172719,-1.692114,Castejón,España
Estación de tren Calahorra,42.310458,-1.957755,Calahorra,España
Estación de tren Logronyo,42.457459,-2.442193,Logroño,España
Estación de tren Haro,42.583635,-2.849396,Haro,España
