stop_name,stop_lat,stop_lon,ciudad,país
Estación de tren Madrid-Chamartin,40.4720993,-3.6824687,Madrid,ES
Estación de tren Badajoz,38.890696,-6.981753,Badajoz,ES
Estación de tren Montijo,38.913539,-6.598577,Montijo,ES
Estación de tren Merida,38.921503,-6.343794,Merida,ES
Estación de tren Caceres,39.461131,-6.385679,Cáceres,ES
Estación de tren Monfrague,39.937464,-6.10091,Malpartida De Plasencia,ES
Estación de tren Navalmoral de La Mata,39.894913,-5.545607,Navalmoral de la Mata,ES
Estación de tren Oropesa de Toledo,39.921746,-5.186137,Oropesa,ES
Estación de tren Talavera de La Reina,39.970674,-4.826512,Talavera de la Reina,ES
Estación de tren Torrijos,39.979003,-4.283037,Torrijos,ES
Estación de tren Leganes,40.3286349,-3.7711552,Leganés,ES
Estación de tren Almeria,36.834951,-2.455519,Almeria,ES
Estación de tren Guadix,37.316873,-3.127209,Guadix,ES
Estación de tren Cabra del Santo Cristo Y Alicun,37.6567129,-3.262623,Cabra del Santo Cristo,ES
Estación de tren Jodar-Ubeda,37.913343,-3.34892,Úbeda,ES
Estación de tren Linares-Baeza,38.068864,-3.589396,Linares,ES
Estación de tren Alcazar de San Juan,39.395628,-3.205744,Alcázar de San Juan,ES
Estación de tren Vilches,38.215742,-3.517576,Vilches,ES
Estación de tren Moreda,37.431216,-3.310516,Morelábor,ES
Estación de tren Finyana,37.184647,-2.839757,Fiñana,ES
Estación de tren Gador,36.951624,-2.487658,Gádor,ES
Estación de tren Miranda de Ebro,42.691024,-2.940366,Miranda de Ebro,ES
Estación de tren Bilbao-Abando Indalecio Prieto,43.259609,-2.92915,Bilbao,ES
Estación de tren Llodio,43.142721,-2.959916,Plaza,ES
Estación de tren San Sebastian/donostia,43.317669,-1.976704,San Sebastián,ES
Estación de tren Vitoria/gasteiz,42.841517,-2.672601,Vitoria-Gasteiz,ES
Estación de tren Altsasu/alsasua-Estacion,42.894847,-2.181237,Altsasu/Alsasua,ES
Estación de tren Zumarraga,43.088273,-2.318462,Zumarraga,ES
Estación de tren Vigo Guixar,42.2392656,-8.7146089,Vigo,ES
Estación de tren Porto Campanha,41.1489,-8.58544,Porto,ES
Estación de tren Nine,41.45534,-8.54513,Vila Nova de Famalicão,ES
Estación de tren Viana D Castelo,41.69517,-8.83134,Viana do Castelo,ES
Estación de tren Valenca Do Minho,42.024734,-8.639745,Valença,ES
Estación de tren Barcelona-Sants,41.37922,2.140624,Barcelona,ES
Estación de tren Camp Tarragona,41.192066,1.272666,la Secuita,ES
Estación de tren Lleida,41.620696,0.632669,Lérida,ES
Estación de tren Zaragoza-Delicias,41.658649,-0.911615,Zaragoza,ES
Estación de tren Tudela de Navarra,42.059434,-1.597931,Tudela,ES
Estación de tren Castejon de Ebro,42.172719,-1.692114,Castejón,ES
Estación de tren Calahorra,42.310458,-1.957755,Calahorra,ES
Estación de tren Logronyo,42.457459,-2.442193,Logroño,ES
Estación de tren Haro,42.583635,-2.849396,Haro,ES
Estación de tren Valencia-Estacio del Nord,39.4669346,-0.3771842,Valencia,ES
Estación de tren Laldea-Amposta-Tortosa,40.753542,0.614314,l'Aldea,ES
Estación de tren Vinaros,40.471682,0.455727,Vinaròs,ES
Estación de tren Benicarlo-Penyiscola,40.427639,0.415217,Benicarló,ES
Estación de tren Castello,39.9882552,-0.0524126,Castellón de la Plana,ES
Estación de tren Pamplona/irunya,42.824877,-1.661419,Pamplona,ES
Estación de tren Tafalla,42.525756,-1.671467,Tafalla,ES
Estación de tren Lugo,43.015222,-7.552176,Lugo,ES
Estación de tren Ourense,42.350389,-7.872777,Ourense,ES
Estación de tren Monforte de Lemos,42.529682,-7.503589,Monforte de Lemos,ES
Estación de tren Sarria,42.784049,-7.418822,Sarria,ES
Estación de tren Guadalajara - Yebes,40.587315,-3.124301,Valdeluz,ES
Estación de tren Calatayud,41.346692,-1.63868,Calatayud,ES
Estación de tren Burgos-Rosa Manzano,42.371197,-3.666308,Burgos,ES
Estación de tren Palencia,42.015711,-4.534135,Palencia,ES
Estación de tren Leon,42.596048,-5.582428,León,ES
Estación de tren Astorga,42.459489,-6.047212,Astorga,ES
Estación de tren Bembibre,42.609558,-6.422048,Bembibre,ES
Estación de tren Ponferrada,42.545429,-6.602376,Compostilla,ES
Estación de tren O Barco de Valdeorras,42.418301,-6.98503,O Barco,ES
Estación de tren A Rua-Petin,42.39276,-7.113284,A Rúa,ES
Estación de tren San Clodio-Quiroga,42.465271,-7.287198,San Clodio,ES
Estación de tren Guillarei,42.065663,-8.62253,Tui,ES
Estación de tren Redondela,42.286005,-8.619402,Redondela,ES
Estación de tren O Porrinyo,42.16419,-8.62202,O Porriño,ES
Estación de tren A Corunya,43.3496932,-8.4155629,A Coruña,ES
Estación de tren Santiago de Compostela,42.870842,-8.544697,Santiago de Compostela,ES
Estación de tren Salamanca,40.972235,-5.64899,Salamanca,ES
Estación de tren Valladolid,41.642167,-4.726986,Valladolid,ES
Estación de tren Medina del Campo,41.317617,-4.909923,Medina del Campo,ES
