ciudad_origen,ciudad_destino,horario_inicio,horario_final,dia_inicio,tipo,dia_final,duracion_viaje,precio
Madrid,Leganés,08:51:00,09:07:00,2024-10-28,tren,2024-10-28,16.0,8.48
Leganés,Torrijos,09:08:00,09:48:00,2024-10-28,tren,2024-10-28,40.0,14.05
Torrijos,Talavera de la Reina,09:49:00,10:13:00,2024-10-28,tren,2024-10-28,24.0,10.34
Talavera de la Reina,Oropesa,10:15:00,10:39:00,2024-10-28,tren,2024-10-28,24.0,10.34
Oropesa,Navalmoral de la Mata,10:40:00,10:59:00,2024-10-28,tren,2024-10-28,19.0,9.18
Navalmoral de la Mata,Malpartida De Plasencia,11:00:00,11:30:00,2024-10-28,tren,2024-10-28,30.0,11.73
Malpartida De Plasencia,Cáceres,11:31:00,12:07:00,2024-10-28,tren,2024-10-28,36.0,13.12
Cáceres,Merida,12:09:00,12:46:00,2024-10-28,tren,2024-10-28,37.0,13.35
Merida,Montijo,12:51:00,13:11:00,2024-10-28,tren,2024-10-28,20.0,9.41
Montijo,Badajoz,13:12:00,13:34:00,2024-10-28,tren,2024-10-28,22.0,9.87
Madrid,Leganés,08:50:00,09:06:00,2024-10-28,tren,2024-10-28,16.0,8.48
Leganés,Torrijos,09:07:00,09:47:00,2024-10-28,tren,2024-10-28,40.0,14.05
Torrijos,Talavera de la Reina,09:48:00,10:12:00,2024-10-28,tren,2024-10-28,24.0,10.34
Talavera de la Reina,Oropesa,10:14:00,10:31:00,2024-10-28,tren,2024-10-28,17.0,8.71
Oropesa,Navalmoral de la Mata,10:32:00,10:52:00,2024-10-28,tren,2024-10-28,20.0,9.41
Navalmoral de la Mata,Malpartida De Plasencia,10:53:00,11:23:00,2024-10-28,tren,2024-10-28,30.0,11.73
Malpartida De Plasencia,Cáceres,11:24:00,12:00:00,2024-10-28,tren,2024-10-28,36.0,13.12
Cáceres,Merida,12:02:00,12:38:00,2024-10-28,tren,2024-10-28,36.0,13.12
Merida,Montijo,12:43:00,13:11:00,2024-10-28,tren,2024-10-28,28.0,11.27
Badajoz,Montijo,17:43:00,18:01:00,2024-10-28,tren,2024-10-28,18.0,8.95
Montijo,Merida,18:02:00,18:19:00,2024-10-28,tren,2024-10-28,17.0,8.71
Merida,Cáceres,18:24:00,19:03:00,2024-10-28,tren,2024-10-28,39.0,13.82
Cáceres,Malpartida De Plasencia,19:05:00,19:41:00,2024-10-28,tren,2024-10-28,36.0,13.12
Malpartida De Plasencia,Navalmoral de la Mata,19:42:00,20:08:00,2024-10-28,tren,2024-10-28,26.0,10.8
Navalmoral de la Mata,Oropesa,20:09:00,20:30:00,2024-10-28,tren,2024-10-28,21.0,9.64
Oropesa,Talavera de la Reina,20:31:00,20:49:00,2024-10-28,tren,2024-10-28,18.0,8.95
Talavera de la Reina,Torrijos,20:51:00,21:16:00,2024-10-28,tren,2024-10-28,25.0,10.57
Torrijos,Leganés,21:17:00,22:01:00,2024-10-28,tren,2024-10-28,44.0,14.98
Leganés,Madrid,22:02:00,22:18:00,2024-10-28,tren,2024-10-28,16.0,8.48
Madrid,Leganés,16:38:00,16:55:00,2024-10-28,tren,2024-10-28,17.0,8.71
Leganés,Torrijos,16:56:00,17:32:00,2024-10-28,tren,2024-10-28,36.0,13.12
Torrijos,Talavera de la Reina,17:33:00,17:58:00,2024-10-28,tren,2024-10-28,25.0,10.57
Talavera de la Reina,Oropesa,18:00:00,18:18:00,2024-10-28,tren,2024-10-28,18.0,8.95
Oropesa,Navalmoral de la Mata,18:19:00,18:38:00,2024-10-28,tren,2024-10-28,19.0,9.18
Navalmoral de la Mata,Malpartida De Plasencia,18:39:00,19:07:00,2024-10-28,tren,2024-10-28,28.0,11.27
Malpartida De Plasencia,Cáceres,19:08:00,19:45:00,2024-10-28,tren,2024-10-28,37.0,13.35
Cáceres,Merida,19:47:00,20:24:00,2024-10-28,tren,2024-10-28,37.0,13.35
Merida,Badajoz,20:29:00,21:01:00,2024-10-28,tren,2024-10-28,32.0,12.19
Badajoz,Merida,07:17:00,07:47:00,2024-10-28,tren,2024-10-28,30.0,11.73
Merida,Cáceres,07:52:00,08:29:00,2024-10-28,tren,2024-10-28,37.0,13.35
Cáceres,Malpartida De Plasencia,08:31:00,09:06:00,2024-10-28,tren,2024-10-28,35.0,12.89
Malpartida De Plasencia,Navalmoral de la Mata,09:07:00,09:34:00,2024-10-28,tren,2024-10-28,27.0,11.03
Navalmoral de la Mata,Oropesa,09:35:00,09:56:00,2024-10-28,tren,2024-10-28,21.0,9.64
Oropesa,Talavera de la Reina,09:57:00,10:15:00,2024-10-28,tren,2024-10-28,18.0,8.95
Talavera de la Reina,Torrijos,10:17:00,10:42:00,2024-10-28,tren,2024-10-28,25.0,10.57
Torrijos,Leganés,10:43:00,11:22:00,2024-10-28,tren,2024-10-28,39.0,13.82
Leganés,Madrid,11:23:00,11:43:00,2024-10-28,tren,2024-10-28,20.0,9.41
Badajoz,Merida,07:17:00,07:47:00,2024-11-02,tren,2024-11-02,30.0,11.73
Merida,Cáceres,07:52:00,08:29:00,2024-11-02,tren,2024-11-02,37.0,13.35
Cáceres,Malpartida De Plasencia,08:31:00,09:06:00,2024-11-02,tren,2024-11-02,35.0,12.89
Malpartida De Plasencia,Navalmoral de la Mata,09:07:00,09:34:00,2024-11-02,tren,2024-11-02,27.0,11.03
Navalmoral de la Mata,Oropesa,09:35:00,09:56:00,2024-11-02,tren,2024-11-02,21.0,9.64
Oropesa,Talavera de la Reina,09:57:00,10:15:00,2024-11-02,tren,2024-11-02,18.0,8.95
Talavera de la Reina,Torrijos,10:17:00,10:42:00,2024-11-02,tren,2024-11-02,25.0,10.57
Torrijos,Leganés,10:43:00,11:22:00,2024-11-02,tren,2024-11-02,39.0,13.82
