ciudad_origen,ciudad_destino,hora_salida,hora_llegada,duracion_viaje,precio,tipo
Madrid,Leganés,2024-10-28 08:51:00,2024-10-28 09:07:00,16.0,8.48,tren
Leganés,Torrijos,2024-10-28 09:08:00,2024-10-28 09:48:00,40.0,14.05,tren
Torrijos,Talavera de la Reina,2024-10-28 09:49:00,2024-10-28 10:13:00,24.0,10.34,tren
Talavera de la Reina,Oropesa,2024-10-28 10:15:00,2024-10-28 10:39:00,24.0,10.34,tren
Oropesa,Navalmoral de la Mata,2024-10-28 10:40:00,2024-10-28 10:59:00,19.0,9.18,tren
Navalmoral de la Mata,Malpartida De Plasencia,2024-10-28 11:00:00,2024-10-28 11:30:00,30.0,11.73,tren
Malpartida De Plasencia,Cáceres,2024-10-28 11:31:00,2024-10-28 12:07:00,36.0,13.12,tren
Cáceres,Merida,2024-10-28 12:09:00,2024-10-28 12:46:00,37.0,13.35,tren
Merida,Montijo,2024-10-28 12:51:00,2024-10-28 13:11:00,20.0,9.41,tren
Montijo,Badajoz,2024-10-28 13:12:00,2024-10-28 13:34:00,22.0,9.87,tren
Madrid,Leganés,2024-10-28 08:50:00,2024-10-28 09:06:00,16.0,8.48,tren
Leganés,Torrijos,2024-10-28 09:07:00,2024-10-28 09:47:00,40.0,14.05,tren
Torrijos,Talavera de la Reina,2024-10-28 09:48:00,2024-10-28 10:12:00,24.0,10.34,tren
Talavera de la Reina,Oropesa,2024-10-28 10:14:00,2024-10-28 10:31:00,17.0,8.71,tren
Oropesa,Navalmoral de la Mata,2024-10-28 10:32:00,2024-10-28 10:52:00,20.0,9.41,tren
Navalmoral de la Mata,Malpartida De Plasencia,2024-10-28 10:53:00,2024-10-28 11:23:00,30.0,11.73,tren
Malpartida De Plasencia,Cáceres,2024-10-28 11:24:00,2024-10-28 12:00:00,36.0,13.12,tren
Cáceres,Merida,2024-10-28 12:02:00,2024-10-28 12:38:00,36.0,13.12,tren
Merida,Montijo,2024-10-28 12:43:00,2024-10-28 13:11:00,28.0,11.27,tren
Badajoz,Montijo,2024-10-28 17:43:00,2024-10-28 18:01:00,18.0,8.95,tren
Montijo,Merida,2024-10-28 18:02:00,2024-10-28 18:19:00,17.0,8.71,tren
Merida,Cáceres,2024-10-28 18:24:00,2024-10-28 19:03:00,39.0,13.82,tren
Cáceres,Malpartida De Plasencia,2024-10-28 19:05:00,2024-10-28 19:41:00,36.0,13.12,tren
Malpartida De Plasencia,Navalmoral de la Mata,2024-10-28 19:42:00,2024-10-28 20:08:00,26.0,10.8,tren
Navalmoral de la Mata,Oropesa,2024-10-28 20:09:00,2024-10-28 20:30:00,21.0,9.64,tren
Oropesa,Talavera de la Reina,2024-10-28 20:31:00,2024-10-28 20:49:00,18.0,8.95,tren
Talavera de la Reina,Torrijos,2024-10-28 20:51:00,2024-10-28 21:16:00,25.0,10.57,tren
Torrijos,Leganés,2024-10-28 21:17:00,2024-10-28 22:01:00,44.0,14.98,tren
Leganés,Madrid,2024-10-28 22:02:00,2024-10-28 22:18:00,16.0,8.48,tren
Madrid,Leganés,2024-10-28 16:38:00,2024-10-28 16:55:00,17.0,8.71,tren
Leganés,Torrijos,2024-10-28 16:56:00,2024-10-28 17:32:00,36.0,13.12,tren
Torrijos,Talavera de la Reina,2024-10-28 17:33:00,2024-10-28 17:58:00,25.0,10.57,tren
Talavera de la Reina,Oropesa,2024-10-28 18:00:00,2024-10-28 18:18:00,18.0,8.95,tren
Oropesa,Navalmoral de la Mata,2024-10-28 18:19:00,2024-10-28 18:38:00,19.0,9.18,tren
Navalmoral de la Mata,Malpartida De Plasencia,2024-10-28 18:39:00,2024-10-28 19:07:00,28.0,11.27,tren
Malpartida De Plasencia,Cáceres,2024-10-28 19:08:00,2024-10-28 19:45:00,37.0,13.35,tren
